"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m88926463546","2023-09-24","","2023-10-02","Zara corduroy black jacket","Completed","New York","Georgia","16.00","7.40","0.00","1.60","1.18","0.00","13.22","1.11","0.00"
"m39551821941","2023-09-28","","2023-10-04","IT Cosmetics CC fair","Completed","California","Georgia","18.00","4.30","0.00","1.80","1.15","0.00","15.05","1.85","0.00"
"m40383194413","2023-09-29","","2023-10-05","Rituals body care set","Completed","California","Georgia","15.00","7.40","0.00","1.50","1.15","0.00","12.35","1.31","0.00"
"m82189352958","2023-10-01","","2023-10-05","Puma x First Mile Women's Provoke XT Mono Casual Sneakers from Finish Line","Completed","Missouri","Georgia","28.00","7.99","0.00","2.80","1.54","0.00","23.66","2.87","0.00"
"m66608521881","2023-09-28","","2023-10-05","acne studio cap","Completed","California","Georgia","58.00","7.40","0.00","5.80","2.40","0.00","49.80","5.22","0.00"
"m21006288882","2023-09-29","","2023-10-05","Bobbi Brown Eye Shadow","Completed","Florida","Georgia","15.00","4.30","0.00","1.50","1.06","0.00","12.44","1.35","0.00"
"m39917794532","2023-09-24","","2023-10-07","Chanel jewelry box","Completed","Texas","Georgia","18.00","4.30","0.00","1.80","1.15","0.00","15.05","1.84","0.00"
"m14600242008","2023-10-03","","2023-10-08","Dior envelop","Completed","California","Georgia","12.00","4.30","0.00","1.20","0.97","0.00","9.83","1.29","0.00"
"m83287347812","2023-10-01","","2023-10-08","ed hardy women winter jacket","Completed","New York","Georgia","60.00","7.99","0.00","6.00","2.47","0.00","51.53","3.14","0.00"
"m15041573710","2023-09-30","","2023-10-09","Le labo perfume sample 3","Completed","New York","Georgia","11.25","4.30","0.00","1.12","0.95","0.00","9.18","1.24","0.00"
"m80536181632","2023-10-04","","2023-10-10","Hermes white oran leather sandal","Completed","Georgia","Georgia","106.00","7.40","0.00","10.60","3.79","0.00","91.61","9.07","0.00"
"m67126253985","2023-10-08","","2023-10-11","Sandro Jeans and self portrait jumpsuit","Completed","Georgia","Georgia","105.00","7.99","0.00","10.50","3.78","0.00","90.72","9.04","0.00"
"m80846300420","2023-09-24","","2023-10-11","Fresh life perfume","Completed","Hawaii","Georgia","22.00","4.99","0.00","2.20","1.28","0.00","18.52","1.21","0.00"
"m31495880843","2023-10-02","","2023-10-12","Chanel Graffiti Espadrilles CHANEL","Completed","Washington","Georgia","105.00","7.99","0.00","10.50","3.78","0.00","90.72","11.58","0.00"
"m66774484763","2023-10-04","","2023-10-12","Diptyque Do Son Body Mist","Completed","California","Georgia","23.00","7.40","0.00","2.30","1.38","0.00","19.32","1.90","0.00"
